Company,Age,Title,Salary,Department
VMware,52,Engineering Manager,270161.42,Data Science
Netflix,42,Product Manager,187640.26,Design
Apple,35,Director,302476.93,Mobile
Nvidia,50,Senior UX Designer,175722.04,Cloud Services
Oracle,32,Senior Data Scientist,184454.37,Infrastructure
Netflix,46,Senior Software Engineer,190446.14,Data Science
Intel,33,Senior Data Scientist,254880.61,Infrastructure
Amazon,42,Senior Data Scientist,192913.02,Security
Salesforce,39,Principal Engineer,311001.62,Design
Amazon,43,Software Engineer,191845.04,Cloud Services
Amazon,52,Senior UX Designer,196217.67,Machine Learning
IBM,50,Senior Product Manager,207333.93,Mobile
Meta,50,Principal Engineer,384869.01,Machine Learning
Amazon,27,Data Scientist,141102.32,Engineering
Nvidia,48,Senior Data Scientist,202947.36,Data Science
IBM,33,Senior Data Scientist,225791.08,Web
Amazon,59,Product Manager,155345.61,Web
Lyft,34,Senior Software Engineer,174355.22,Engineering
Nvidia,24,UX Designer,125628.78,Engineering
VMware,27,Data Scientist,178176.51,Design
Amazon,37,Data Scientist,213046.38,Infrastructure
Microsoft,59,Engineering Manager,309413.56,Web
Oracle,60,Engineering Manager,228863.9,Infrastructure
Lyft,34,Data Scientist,158216.05,Mobile
Uber,40,Senior Software Engineer,180171.8,Product
Meta,44,Senior Software Engineer,220427.21,Machine Learning
Uber,38,Senior Software Engineer,232183.45,Product
Intel,47,Senior UX Designer,170189.58,Machine Learning
Adobe,44,Software Engineer,134053.71,Security
Microsoft,43,Engineering Manager,309332.36,Product
Uber,26,Data Scientist,146222.41,Web
IBM,38,Engineering Manager,213357.67,Machine Learning
Lyft,30,Staff Engineer,227897.12,Cloud Services
Cisco,53,Product Manager,199649.94,Mobile
Uber,42,Principal Engineer,298764.38,Product
Google,39,Senior Data Scientist,196931.02,Design
Meta,36,Staff Engineer,315517.11,Data Science
Apple,42,Senior Software Engineer,233086.41,Engineering
Nvidia,39,Product Manager,175471.7,Product
Microsoft,47,Senior Data Scientist,241309.01,Machine Learning
Nvidia,23,Software Engineer,181160.13,Data Science
Salesforce,27,Software Engineer,124516.21,Mobile
Apple,43,Staff Engineer,333270.06,Infrastructure
Cisco,37,Senior Data Scientist,204864.54,Product
Nvidia,34,Data Scientist,198484.49,Product
Netflix,35,Senior Product Manager,239703.63,Security
Lyft,31,Data Scientist,178211.8,Security
Lyft,50,Product Manager,176608.73,Infrastructure
Salesforce,29,Data Scientist,163623.26,Product
IBM,33,Software Engineer,122821.64,Cloud Services
Nvidia,30,Software Engineer,164521.99,Cloud Services
Apple,29,Software Engineer,193373.26,Infrastructure
Google,54,Staff Engineer,326363.91,Machine Learning
Oracle,45,Senior Product Manager,252747.02,Web
Amazon,27,Data Scientist,189721.07,Web
Oracle,22,UX Designer,144034.88,Product
Amazon,37,UX Designer,111145.05,Data Science
Nvidia,38,Product Manager,165206.89,Infrastructure
Amazon,51,Principal Engineer,305867.95,Data Science
Amazon,22,Software Engineer,165366.07,Mobile
Oracle,37,UX Designer,98174.38,Mobile
